"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"v[153]",1.09734305660067,1.72718868867365,2.50538167322961,1.75128236755353,0.367941845893976,NA,0.00650659024773697,1.8,3198,0.0462928173538044,1.0002299174077
"v[154]",0.102671076942735,0.304430107266739,0.565006041385769,0.319749632145857,0.123221765759384,NA,0.00179883868193319,1.5,4692,0.0303756744878008,1.00042516804604
"v[155]",0.0482927063708963,0.263957525102638,0.572033158888199,0.288249968128139,0.147068194657749,NA,0.00217041042248181,1.5,4591,-0.0162769941224786,0.999977247872197
"v[156]",0.469220867214629,0.942654379334374,1.51383181682178,0.97008447796679,0.27420184313615,NA,0.0044513055351874,1.6,3795,0.0333574745607848,1.00023766910908
"v[157]",0.851025525837679,1.44266997255499,2.15067357898102,1.46815900521562,0.338007128698523,NA,0.00612376617543294,1.8,3047,0.0375833149056359,1.00000760944456
"v[158]",0.0217721446584118,0.192378803914417,0.467563764069837,0.217613301867004,0.128296298315254,NA,0.00200677018963714,1.6,4087,0.017776865645342,1.00085116514142
"v[159]",1.4011963508247,2.03730671730282,2.85613336813919,2.06527093259235,0.378830149647166,NA,0.00705068006465434,1.9,2887,0.0515830908929491,1.00001385131939
"v[160]",0.588514934437595,1.07399842950339,1.69339635344262,1.10038023996496,0.290508962449919,NA,0.00578492487164984,2,2522,0.0431012573095466,1.00029823598911
"v[161]",2.51427675870257,3.44856020163196,4.44554919610284,3.47164474594622,0.500103481432721,NA,0.0134921884589279,2.7,1374,0.0983995603492953,1.00001569433758
"v[162]",0.668399269166999,1.20841092393086,1.85731990464907,1.23705425262297,0.307028039684737,NA,0.00525633418596886,1.7,3412,0.0190848261653042,1.00024123924644
"v[163]",0.31378827070222,0.66628311309482,1.12315395165761,0.686937317286256,0.211830015386126,NA,0.00311442864328584,1.5,4626,0.0284304974072738,1.00005329407414
